name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
"Hôtel de Ville, Place de Grève",48.857208,2.35218,2,2.4,258,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",railway stations,Paris,FR,culture,2,railway stations,24,1,16,15,0.007751938,5.556828062,0.007722046,0.000608329,1,0,0,6,30,6,592,1,0.0627574
"Jardin des Combattants-de-la-Nueve, Statue d'Étienne Marcel, Étienne Marcel",48.85572,2.352114,1,2.9,56,"cultural,urban_environment,interesting_places,sculptures, urban_environment,gardens_and_parks,cultural,interesting_places",monuments,Paris,FR,nature,1,monuments,18,4,16,15,0.017857143,4.043051268,0.017699577,0.000884192,1,0,0,8,75,8,28,7,0.013621761
"Chapelle dorée of Église Saint-Gervais-Saint-Protais, Church of Saint-Gervais",48.855556,2.354444,3,4.2,1065,"religion,churches,interesting_places,other_churches",churches,Paris,FR,religion,1,churches,6,2,16,15,0.000938967,6.971668605,0.000938526,0.002474969,1,1,0,4,77,8,223,4,0.25905671
"LUMINOR Town Hall, Nouveau Latina",48.858685,2.353654,3,2.5,657,"cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,Paris,FR,entertainment,2,cinemas,7,3,16,15,0.00304414,6.489204931,0.003039516,0.002541917,1,0,1,4,33,5,105,1,0.159812449
"Saint-Jacques Tower, Square de la Tour Saint-Jacques, Square of Saint-Jacques Tower, Tour Saint-Jacques, Église Saint-Jacques-de-la-Boucherie",48.85798,2.348857,3,4.8,13718,"religion,churches,interesting_places,other_churches, towers,architecture,interesting_places,other_towers, urban_environment,gardens_and_parks,cultural,interesting_places","monuments, towers",Paris,FR,religion,1,monuments,18,2,16,15,7.29E-05,9.526537012,7.29E-05,0.003616635,1,1,0,12,141,15,223,7,3.336845019
"Saint Merry Church, Saint-Merri",48.859081,2.350804,3,3.3,731,"religion,churches,interesting_places,catholic_churches",churches,Paris,FR,religion,1,churches,6,2,16,15,0.001367989,6.595780514,0.001367054,0.002846784,1,1,0,4,31,4,223,4,0.177812634
"Café de la Gare, Essaïon Théâtre, Théâtre Essaïon",48.859734,2.353318,3,3.6,2260,"architecture,historic_architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres,cafes,foods,tourist_facilities,other_buildings_and_structures, cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Paris,FR,entertainment,2,theatres,29,3,16,15,0.000884956,7.723562472,0.000884565,0.003327443,1,0,1,14,49,8,105,4,0.549735365
"Maisons Médiévales, Maisons du Moyen Âge",48.855789,2.3569,1,3.9,46,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",fortresses,Paris,FR,culture,2,fortresses,9,1,16,15,0.043478261,3.850147602,0.042559615,0.004769457,1,0,0,6,40,6,592,1,0.011189304
Le Point Virgule,48.857876,2.356833,3,4.1,2785,"cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Paris,FR,entertainment,2,theatres,29,3,16,15,0.000718133,7.932362154,0.000717875,0.004805504,1,0,1,4,16,3,105,4,0.677439377
"Fontaine du Palmier, Petit Châtelet, Place du Châtelet",48.8575,2.347254,3,4.1,2652,"fortifications,historic,interesting_places,castles, fountains,historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Paris,FR,culture,1,monuments,18,1,16,15,0.000377074,7.883446354,0.000377003,0.005027218,1,0,0,12,54,8,592,7,0.645087694
