name,address,city,country,category,lat,lon,rating,user_ratings_total
Arc de Triomphe,"Pl. Charles de Gaulle, 75008 Paris, France",Paris,FR,monuments,48.873792,2.295028,4.7,260986.0
Panthéon,"Pl. du Panthéon, 75005 Paris, France",Paris,FR,monuments,48.846222,2.346414,4.6,59548.0
Notre-Dame Cathedral of Paris,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",Paris,FR,monuments,48.852968,2.349902,4.7,60631.0
Eiffel Tower,"Av. Gustave Eiffel, 75007 Paris, France",Paris,FR,monuments,48.85837,2.294481,4.7,428607.0
Flame of Liberty,"Pl. de l'Alma, 75008 Paris, France",Paris,FR,monuments,48.864187,2.300875,4.5,1827.0
Arc de Triomphe du Carrousel,"Pl. du Carrousel, 75001 Paris, France",Paris,FR,monuments,48.861723,2.332925,4.6,1715.0
Colonne Vendôme,"Pl. Vendôme, 75001 Paris, France",Paris,FR,monuments,48.867462,2.329477,4.7,3354.0
Monument à la République,"Pl. de la République, 75010 Paris, France",Paris,FR,monuments,48.867543,2.363792,4.5,278.0
Conciergerie,"2 Bd du Palais, 75001 Paris, France",Paris,FR,monuments,48.856011,2.345495,4.4,10072.0
Statue of Liberty Paris - Frederic Auguste Bartholdi,"All. des Cygnes, 75015 Paris, France",Paris,FR,monuments,48.850017,2.279696,4.5,5187.0
Sainte-Chapelle,"10 Bd du Palais, 75001 Paris, France",Paris,FR,monuments,48.855375,2.344961,4.6,43407.0
Monument to Human Rights,"Av. Charles Risler, 75007 Paris, France",Paris,FR,monuments,48.855233,2.301155,4.4,789.0
Statue du Général Charles de Gaulle,"Pl. Clemenceau, 75008 Paris, France",Paris,FR,monuments,48.8675,2.313606,4.5,246.0
Place de la Concorde,"75008 Paris, France",Paris,FR,monuments,48.865633,2.321236,4.6,65135.0
Basilique du Sacré-Cœur de Montmartre,"35 Rue du Chevalier de la Barre, 75018 Paris, France",Paris,FR,monuments,48.886705,2.343104,4.7,145215.0
Fontaine Saint-Michel,"Pl. Saint-Michel, 75005 Paris, France",Paris,FR,monuments,48.853237,2.343774,4.4,7320.0
Palais de Chaillot,"1 Pl. du Trocadéro et du 11 Novembre, 75016 Paris, France",Paris,FR,monuments,48.862369,2.288151,4.6,5999.0
Deportation Martyrs Memorial,"7 Quai de l'Archevêché, 75004 Paris, France",Paris,FR,monuments,48.851757,2.352444,4.5,514.0
Colonne de Juillet,"Pl. de la Bastille, 75004 Paris, France",Paris,FR,monuments,48.853191,2.369148,4.3,4405.0
Monument à Pierre Marie René Ernest Waldeck-Rousseau,"75001 Paris, France",Paris,FR,monuments,48.865434,2.325041,4.8,19.0
Medici Fountain,"Rue de Médicis, 75006 Paris, France",Paris,FR,monuments,48.848067,2.339308,4.7,3546.0
Winston Churchill Statue,"13 Av. Winston Churchill, 75008 Paris, France",Paris,FR,monuments,48.865311,2.314028,4.6,188.0
Statue of Louis XIV,"Pl. des Victoires, 75001 Paris, France",Paris,FR,monuments,48.865759,2.341196,4.5,596.0
Place des Victoires,"75001 Paris, France",Paris,FR,monuments,48.865761,2.341185,4.5,491.0
Statue de Thomas Jefferson,"Statue de Thomas Jefferson, Rue de Solferino, 75007 Paris, France",Paris,FR,monuments,48.861267,2.324222,4.6,43.0
Square of Saint-Jacques Tower,"39 Rue de Rivoli, 75004 Paris, France",Paris,FR,monuments,48.857864,2.348815,4.4,4432.0
Crypte Archéologique de l'İle de la Cité,"7 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",Paris,FR,monuments,48.85365,2.347715,4.3,1952.0
Fontaine de la Vierge,"1 Rue du Cloitre Notre Dame, 75004 Paris, France",Paris,FR,monuments,48.852569,2.351386,4.6,87.0
Statue of Marshal Joseph Joffre,"1 Pl. Joffre, 75007 Paris, France",Paris,FR,monuments,48.852903,2.302885,4.6,55.0
Equestrian Statue of Simón Bolívar,"1910 Port des Champs-Élysées, 75008 Paris, France",Paris,FR,monuments,48.864529,2.314222,4.7,83.0
Porte Saint-Denis,"Boulevard St Denis, 75010 Paris, France",Paris,FR,monuments,48.8698,2.352704,4.5,213.0
Monument of Gaspard de Coligny of Châtillon,"1 Rue de l'Oratoire, 75001 Paris, France",Paris,FR,monuments,48.861455,2.339745,4.4,66.0
Buste de Dalida,"Rue de l'Abreuvoir, 75018 Paris, France",Paris,FR,monuments,48.888564,2.338065,4.3,4614.0
Statue d'Étienne Marcel,"1341 Quai de l'Hôtel de ville, 75004 Paris, France",Paris,FR,monuments,48.855669,2.352109,4.4,28.0
Statue of Liberty,"3 Rue Guynemer, 75006 Paris, France",Paris,FR,monuments,48.846401,2.33314,4.5,2490.0
Monument to Taras Shevchenko,"186 Bd Saint-Germain, 75006 Paris, France",Paris,FR,monuments,48.854712,2.330768,4.7,21.0
Jacques De Molay (Knight Templar) Memorial,"75001 Paris, France",Paris,FR,monuments,48.85721,2.340795,4.3,96.0
Statue of Joan of Arc Paris - Emmanuel Fremiet,"4 Pl. des Pyramides, 75001 Paris, France",Paris,FR,monuments,48.863888,2.332199,4.5,500.0
Monument aux morts de la guerre franco-prussienne,"Pl. de Fontenoy-Unesco, 75007 Paris, France",Paris,FR,monuments,48.850841,2.306078,4.1,13.0
Tour de l'Horloge du Palais de la Cité,"Bd du Palais, 75001 Paris, France",Paris,FR,monuments,48.856247,2.346226,4.6,308.0
Monument au Général Diego Brosset,"Prom. d'Australie, 75015 Paris, France",Paris,FR,monuments,48.855015,2.289003,4.8,4.0
Place du Châtelet,"12715 Rue St Denis, 75001 Paris, France",Paris,FR,monuments,48.85747,2.347319,4.2,1326.0
Monument to Maréchal Moncey,"Pl. de Clichy, 75018 Paris, France",Paris,FR,monuments,48.883521,2.327428,4.2,88.0
Tour Jean-sans-Peur,"20 Rue Étienne Marcel, 75002 Paris, France",Paris,FR,monuments,48.864303,2.348061,4.5,587.0
Status Jean-Paul II,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",Paris,FR,monuments,48.852487,2.349607,4.2,40.0
Adam Mickiewicz Monument,"Cr Albert 1er, 75008 Paris, France",Paris,FR,monuments,48.864327,2.304947,4.7,28.0
Place de l'Odéon,"2 Pl. de l'Odéon, 75006 Paris, France",Paris,FR,monuments,48.849991,2.338846,4.4,236.0
Monument aux morts,"62 Pl. du Trocadéro et du 11 Novembre, 75116 Paris, France",Paris,FR,monuments,48.862644,2.286342,4.4,33.0
Marshal Ney Monument,"20 Av. de l'Observatoire, 75006 Paris, France",Paris,FR,monuments,48.840029,2.336371,4.5,25.0
Le Triomphe de Silène,"1 Rue Guynemer, 75006 Paris, France",Paris,FR,monuments,48.847661,2.333151,4.6,16.0
Monument aux Volontaires américains,"1 Pl. des États-Unis, 75116 Paris, France",Paris,FR,monuments,48.867754,2.295031,4.8,13.0
Monument to Alexandre Dumas,"Pl. du Général Catroux, 75017 Paris, France",Paris,FR,monuments,48.883021,2.309532,4.5,85.0
Hôtel des Invalides,"75007 Paris, France",Paris,FR,monuments,48.856529,2.312706,4.7,39089.0
Monument aux morts pour la France en opérations extérieures,"Jardin Eugénie-Djendi, 29 Rue de la Montagne de la Fage, 75015 Paris, France",Paris,FR,monuments,48.838138,2.276918,4.9,29.0
Arènes de Lutèce,"49 Rue Monge, 75005 Paris, France",Paris,FR,monuments,48.845116,2.352837,4.2,5123.0
Montparnasse Tower,"33 Av. du Maine, 75015 Paris, France",Paris,FR,monuments,48.842138,2.321951,4.5,14670.0
Monument Pierre 1er de Serbie et Alexandre 1er de Yougoslavie,"3030 Sq. Alexandre 1er de Yougoslavie, 75116 Paris, France",Paris,FR,monuments,48.863477,2.268139,4.6,25.0
Strasbourg Statue,"Pl. de la Concorde, 75008 Paris, France",Paris,FR,monuments,48.865854,2.322696,4.5,20.0
Statue de Diderot,"Bd Saint-Germain, 75006 Paris, France",Paris,FR,monuments,48.853472,2.334397,4.3,26.0
Monument à Pasteur,"7 Pl. de Breteuil, 75007 Paris, France",Paris,FR,monuments,48.847288,2.31164,4.5,13.0
Le Passe-Muraille,"Pl. Marcel Aymé, 75018 Paris, France",Paris,FR,sculptures,48.887553,2.338042,4.4,1654.0
Stravinsky Fountain,"Rue Brisemiche, 75004 Paris, France",Paris,FR,sculptures,48.859478,2.351546,4.3,1257.0
Statue of Joan of Arc Paris - Emmanuel Fremiet,"4 Pl. des Pyramides, 75001 Paris, France",Paris,FR,sculptures,48.863888,2.332199,4.5,500.0
Statue of Liberty Paris - Frederic Auguste Bartholdi,"All. des Cygnes, 75015 Paris, France",Paris,FR,sculptures,48.850017,2.279696,4.5,5187.0
Outdoor Sculpture Museum,"11 Bis Quai Saint-Bernard, 75005 Paris, France",Paris,FR,sculptures,48.84757,2.360487,4.0,74.0
Michel de Montaigne - Paul Landowski,"56 Rue des Écoles, 75005 Paris, France",Paris,FR,sculptures,48.849905,2.344052,4.5,60.0
Monument à la République,"Pl. de la République, 75010 Paris, France",Paris,FR,sculptures,48.867543,2.363792,4.5,278.0
Statue of Georges Clemenceau,"1 Pl. Clemenceau, 75008 Paris, France",Paris,FR,sculptures,48.867119,2.314397,4.5,84.0
Statue of Liberty,"3 Rue Guynemer, 75006 Paris, France",Paris,FR,sculptures,48.846401,2.33314,4.5,2490.0
La France Renaissante,"810 Pont de Bir-Hakeim, 75015 Paris, France",Paris,FR,sculptures,48.855782,2.287816,4.8,175.0
The Thinker,"77 Rue de Varenne, 75007 Paris, France",Paris,FR,sculptures,48.855616,2.315519,4.3,456.0
Statue du Général Charles de Gaulle,"Pl. Clemenceau, 75008 Paris, France",Paris,FR,sculptures,48.8675,2.313606,4.5,246.0
Rodin Museum - The Gate of Hell,"77 Rue de Varenne, 75007 Paris, France",Paris,FR,sculptures,48.855462,2.31671,4.7,191.0
Equestrian Statue of Henri IV,"15 Pl. du Pont Neuf, 75001 Paris, France",Paris,FR,sculptures,48.857097,2.341142,4.5,258.0
Les Trois Ombres de Rodin,"79 Rue de Varenne, 75007 Paris, France",Paris,FR,sculptures,48.855514,2.316379,4.7,18.0
Statue of Louis XIV,"Pl. des Victoires, 75001 Paris, France",Paris,FR,sculptures,48.865759,2.341196,4.5,596.0
Monument to Balzac,"136 Bd Raspail, 75006 Paris, France",Paris,FR,sculptures,48.842462,2.329457,4.2,22.0
Statue de Sainte Genevieve - Paul Landowski,"Pont de la Tournelle, 75004 Paris, France",Paris,FR,sculptures,48.850264,2.355373,4.6,27.0
Statue poete roumain Mihai Eminescu,"14 Rue Jean de Beauvais, 75005 Paris, France",Paris,FR,sculptures,48.849317,2.346789,4.8,31.0
Crevettes de Paris (sculpture de Nastassia Kotava),"Port de Suffren, 75007 Paris, France",Paris,FR,sculptures,48.858943,2.291884,4.8,28.0
Equestrian Statue of Simón Bolívar,"1910 Port des Champs-Élysées, 75008 Paris, France",Paris,FR,sculptures,48.864529,2.314222,4.7,83.0
The City of Paris,"Pont du Carrousel, 75006 Paris, France",Paris,FR,sculptures,48.858894,2.332696,5.0,2.0
Statue de Charlemagne et ses leudes,"Île de la Cité, France",Paris,FR,sculptures,48.853144,2.348235,4.6,114.0
Angel Bear,"Pl. Napoléon III, 75010 Paris, France",Paris,FR,sculptures,48.880108,2.354835,4.3,20.0
Monument to Alexandre Dumas,"Pl. du Général Catroux, 75017 Paris, France",Paris,FR,sculptures,48.883021,2.309532,4.5,85.0
The Centaur,"2 Pl. Michel Debré, 75006 Paris, France",Paris,FR,sculptures,48.851942,2.329582,4.3,45.0
Courses And Workshops Sculpture Brigitte Brandeau,"71 Rue de Maubeuge, 75010 Paris, France",Paris,FR,sculptures,48.880046,2.350273,5.0,11.0
Statue l'homme au bras levé,"48 Rue du Caire, 75002 Paris, France",Paris,FR,sculptures,48.868158,2.348535,4.6,5.0
Les Fils de Caïn - Paul Landowski,"Jardin des Tuileries, Terr. du Bord de l'Eau, 75001 Paris, France",Paris,FR,sculptures,48.861484,2.329105,5.0,6.0
The Kiss (Rodin sculpture),"Musée Rodin, 77 Rue de Varenne, 75007 Paris, France",Paris,FR,sculptures,48.855407,2.315697,4.7,3.0
SCULPTURE ET COLLECTION,"69 Rue Sainte-Anne, 75002 Paris, France",Paris,FR,sculptures,48.868429,2.336444,5.0,2.0
Musée Rodin,"77 Rue de Varenne, 75007 Paris, France",Paris,FR,sculptures,48.855307,2.315835,4.7,18121.0
Statue Jean de La Fontaine,"Av. du Ranelagh, 75016 Paris, France",Paris,FR,sculptures,48.858233,2.269412,4.5,41.0
Benjamin Franklin Statue,"square de Yorktown, 38 Rue Benjamin Franklin, 75116 Paris, France",Paris,FR,sculptures,48.861723,2.286405,4.7,18.0
"Sculpture (Niemeyer, parc de Bercy)","3 Pl. Léonard Bernstein, 75012 Paris, France",Paris,FR,sculptures,48.837248,2.381659,4.5,8.0
Les lutteurs,"Pl. de Valois, 75001 Paris, France",Paris,FR,sculptures,48.86315,2.338108,5.0,2.0
Statue de Rimbaud,"Jardin Tino Rossi, Paris, France",Paris,FR,sculptures,48.846729,2.362183,4.8,6.0
Statue Honoré de Balzac,"12 Av. de Friedland, 75008 Paris, France",Paris,FR,sculptures,48.874675,2.302074,4.5,26.0
Petit Palais,"Av. Winston Churchill, 75008 Paris, France",Paris,FR,sculptures,48.866048,2.31459,4.7,20905.0
L'heure de tous - Armand Fernandez,"Cour du Havre, 5 Rue d'Amsterdam, 75008 Paris, France",Paris,FR,sculptures,48.875875,2.326625,4.5,66.0
Workshops Sculpture-Paris-Montreuil,"24 Rue Saigne, 93100 Montreuil, France",Paris,FR,sculptures,48.853768,2.442296,4.8,10.0
Monument of Gaspard de Coligny of Châtillon,"1 Rue de l'Oratoire, 75001 Paris, France",Paris,FR,sculptures,48.861455,2.339745,4.4,66.0
Statue of Marshal Gallieni,"Pl. Vauban, 75007 Paris, France",Paris,FR,sculptures,48.853708,2.311778,4.1,125.0
Flame of Liberty,"Pl. de l'Alma, 75008 Paris, France",Paris,FR,sculptures,48.864187,2.300875,4.5,1827.0
Statue d'Étienne Marcel,"1341 Quai de l'Hôtel de ville, 75004 Paris, France",Paris,FR,sculptures,48.855669,2.352109,4.4,28.0
Edith Piaf Statue,"Pl. Edith Piaf, 75020 Paris, France",Paris,FR,sculptures,48.864839,2.405306,4.2,20.0
L'Ami de personne,"75001 Paris, France",Paris,FR,sculptures,48.864162,2.328001,4.8,11.0
Statue Auguste Comte,"8 Pl. de la Sorbonne, 75005 Paris, France",Paris,FR,sculptures,48.848763,2.34202,4.6,24.0
Laurent Mallamaci - Sculpteur,"19 Rue Milton, 75009 Paris, France",Paris,FR,sculptures,48.878531,2.340901,0.0,0.0
Buste de Dalida,"Rue de l'Abreuvoir, 75018 Paris, France",Paris,FR,sculptures,48.888564,2.338065,4.3,4614.0
Sculptures L'Ordre et la Force de Antoine Louis Barye (sculpteur Laurent Marqueste),"2 Bd Henri IV, 75004 Paris, France",Paris,FR,sculptures,48.850083,2.359724,5.0,1.0
L'arbre aux mille voix,"3 Quai Voltaire, 75007 Paris, France",Paris,FR,sculptures,48.858786,2.332643,4.5,2.0
Matière & Imaginaire Drawing Painting Modeling Sculpture Course Internship And Training - Art Workshop Butte Aux Cailles Paris,"41 Rue de la Butte aux Cailles, 75013 Paris, France",Paris,FR,sculptures,48.827726,2.347533,4.9,22.0
Bourdelle Museum,"18 Rue Antoine Bourdelle, 75015 Paris, France",Paris,FR,sculptures,48.843124,2.318657,4.6,3227.0
Bel costumé (sculpture de Dubuffet),"Jardin des tuileries, 75001 Paris, France",Paris,FR,sculptures,48.864322,2.326119,4.3,9.0
Formes et Sculptures Installation,"3 Rue Robert Planquette, 75018 Paris, France",Paris,FR,sculptures,48.884939,2.334684,5.0,3.0
Un Cœur d'or,"10 Rue Jacques Callot, 75006 Paris, France",Paris,FR,sculptures,48.855375,2.337124,4.3,3.0
Medici Fountain,"Rue de Médicis, 75006 Paris, France",Paris,FR,sculptures,48.848067,2.339308,4.7,3546.0
L'Acteur Grec,"Jardin du Luxembourg, 75006 Paris, France",Paris,FR,sculptures,48.847836,2.338642,4.6,43.0
Atelier de sculpture Galerie Grès,"9 Rue du Pont Louis-Philippe, 75004 Paris, France",Paris,FR,sculptures,48.85512,2.355531,4.5,17.0
Domaine National du Palais-Royal,"75001 Paris, France",Paris,FR,palaces,48.863757,2.337126,4.6,20356.0
Grand Palais,"75008 Paris, France",Paris,FR,palaces,48.866109,2.312454,4.5,23936.0
Luxembourg Palace,"15 Rue de Vaugirard, 75006 Paris, France",Paris,FR,palaces,48.849185,2.337344,4.7,3620.0
Petit Palais,"Av. Winston Churchill, 75008 Paris, France",Paris,FR,palaces,48.866048,2.31459,4.7,20905.0
Jardin du Palais Royal,"8 Rue de Montpensier, 75001 Paris, France",Paris,FR,palaces,48.864972,2.337806,4.7,7964.0
Palais de l'Élysée,"55 Rue du Faubourg Saint-Honoré, 75008 Paris, France",Paris,FR,palaces,48.870309,2.316678,3.6,1721.0
Place des Vosges,"Pl. des Vosges, 75004 Paris, France",Paris,FR,palaces,48.855611,2.365527,4.6,29043.0
Assemblée nationale | Palais Bourbon,"126 Rue de l'Université, 75007 Paris, France",Paris,FR,palaces,48.861911,2.318582,4.4,779.0
Borghese Palace,"39 Rue du Faubourg Saint-Honoré, 75008 Paris, France",Paris,FR,palaces,48.868776,2.318527,3.8,4.0
Château de Vincennes,"Av. de Paris, 94300 Vincennes, France",Paris,FR,castles,48.84433,2.436331,4.5,16407.0
Château de Fontainebleau,"77300 Fontainebleau, France",Paris,FR,castles,48.402102,2.699484,4.6,26905.0
Château de Chambord,"41250 Chambord, France",Paris,FR,castles,47.615809,1.516919,4.6,56133.0
Château de Breteuil,"78460 Choisel, France",Paris,FR,castles,48.680303,2.023019,4.6,3943.0
Le Château de la Belle au Bois Dormant,"Parc Disneyland, 77700 Chessy, France",Paris,FR,castles,48.873143,2.776111,4.7,8564.0
Château de Chantilly,"60500 Chantilly, France",Paris,FR,castles,49.193847,2.485203,4.6,20376.0
Palace of Versailles,"Place d'Armes, 78000 Versailles, France",Paris,FR,castles,48.804865,2.120355,4.6,150487.0
Château de Vaux-le-Vicomte,"77950 Maincy, France",Paris,FR,castles,48.565812,2.714135,4.6,12504.0
Castle of La Roche-Guyon,"1 Rue de l'Audience, 95780 La Roche-Guyon, France",Paris,FR,castles,49.081297,1.628056,4.5,3956.0
Château de Pierrefonds,"Rue Viollet le Duc, 60350 Pierrefonds, France",Paris,FR,castles,49.346975,2.980183,4.6,14324.0
Château de Champs-sur-Marne,"31 Rue de Paris, 77420 Champs-sur-Marne, France",Paris,FR,castles,48.853217,2.604142,4.6,2703.0
Château de Sceaux,"All. d'Honneur, 92330 Sceaux, France",Paris,FR,castles,48.774375,2.300078,4.7,2050.0
Domaine National du Palais-Royal,"75001 Paris, France",Paris,FR,castles,48.863757,2.337126,4.6,20356.0
Château de Monte-Cristo,"Chem. du Haut des Ormes, 78560 Le Port-Marly, France",Paris,FR,castles,48.885569,2.103434,4.5,1654.0
Château de Rambouillet,"78120 Rambouillet, France",Paris,FR,castles,48.645391,1.817376,4.3,4746.0
Château de Malmaison,"12 Av. du Château de la Malmaison, 92500 Rueil-Malmaison, France",Paris,FR,castles,48.8708,2.166848,4.5,2259.0
Château de la Madeleine,"Chem. Jean Racine, 78460 Chevreuse, France",Paris,FR,castles,48.710105,2.041695,4.3,1941.0
Château de Brie-Comte-Robert,"1 Rue du Château, 77170 Brie-Comte-Robert, France",Paris,FR,castles,48.692466,2.610736,4.2,1557.0
Château de Dourdan,"Pl. du Général de Gaulle, 91410 Dourdan, France",Paris,FR,castles,48.529854,2.011291,4.3,1417.0
Chateau De Plaisir,"282 Rue de la Bretechelle, 78370 Plaisir, France",Paris,FR,castles,48.814619,1.953297,4.3,788.0
The Château de Longchamp - Good Planet Foundation,"1 Carr de Longchamp, 75016 Paris, France",Paris,FR,castles,48.864689,2.23756,4.6,191.0
Keep of Vincennes,"Av. de Paris, 94300 Vincennes, France",Paris,FR,castles,48.842822,2.434218,4.6,764.0
Castle of the White Queen,"6 Rue Gustave Geffroy, 75013 Paris, France",Paris,FR,castles,48.835365,2.351006,4.1,123.0
Castle Park,"1 Rue de la République, 92150 Suresnes, France",Paris,FR,castles,48.864652,2.225417,4.5,1268.0
Maisons-Laffitte Castle,"2 Av. Carnot, 78600 Maisons-Laffitte, France",Paris,FR,castles,48.947161,2.153885,4.4,1704.0
Château des Montalets,"19 Bd Anatole France, 92190 Meudon, France",Paris,FR,castles,48.817501,2.242265,4.8,8.0
Château de Madrid,"31 Bd du Commandant Charcot, 92200 Neuilly-sur-Seine, France",Paris,FR,castles,48.874723,2.255036,4.5,2.0
Château de la Muette,"2 Rue André Pascal, 75016 Paris, France",Paris,FR,castles,48.861429,2.269333,4.5,19.0
Château de Saint-Germain-en-Laye,"1 Pl. Charles de Gaulle, 78100 Saint-Germain-en-Laye, France",Paris,FR,castles,48.898019,2.096039,4.5,3637.0
Château d'Asnières,"89 Rue du Château, 92600 Asnières-sur-Seine, France",Paris,FR,castles,48.910439,2.293507,4.2,352.0
