name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,price_level
"Hôtel de Ville, Place de Grève",48.857208,2.35218,2,2.4,258,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",railway stations,Paris,FR,2
"Jardin des Combattants-de-la-Nueve, Statue d'Étienne Marcel, Étienne Marcel",48.85572,2.352114,1,2.9,56,"cultural,urban_environment,interesting_places,sculptures, urban_environment,gardens_and_parks,cultural,interesting_places",monuments,Paris,FR,1
"Chapelle dorée of Église Saint-Gervais-Saint-Protais, Church of Saint-Gervais",48.855556,2.354444,3,4.2,1065,"religion,churches,interesting_places,other_churches",churches,Paris,FR,1
"LUMINOR Town Hall, Nouveau Latina",48.858685,2.353654,3,2.5,657,"cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,Paris,FR,2
"Saint-Jacques Tower, Square de la Tour Saint-Jacques, Square of Saint-Jacques Tower, Tour Saint-Jacques, Église Saint-Jacques-de-la-Boucherie",48.85798,2.348857,3,4.8,13718,"religion,churches,interesting_places,other_churches, towers,architecture,interesting_places,other_towers, urban_environment,gardens_and_parks,cultural,interesting_places","monuments, towers",Paris,FR,1
"Saint Merry Church, Saint-Merri",48.859081,2.350804,3,3.3,731,"religion,churches,interesting_places,catholic_churches",churches,Paris,FR,1
"Café de la Gare, Essaïon Théâtre, Théâtre Essaïon",48.859734,2.353318,3,3.6,2260,"architecture,historic_architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres,cafes,foods,tourist_facilities,other_buildings_and_structures, cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Paris,FR,2
"Maisons Médiévales, Maisons du Moyen Âge",48.855789,2.3569,1,3.9,46,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",fortresses,Paris,FR,2
Le Point Virgule,48.857876,2.356833,3,4.1,2785,"cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Paris,FR,2
"Fontaine du Palmier, Petit Châtelet, Place du Châtelet",48.8575,2.347254,3,4.1,2652,"fortifications,historic,interesting_places,castles, fountains,historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Paris,FR,1
Le Duc des Lombards,48.859692,2.348605,3,4,1804,"cultural,theatres_and_entertainments,interesting_places,other_theatres",concert hall,Paris,FR,3
"Charles V clock, Tour de l'Horloge, Tour de l'Horloge du Palais de la Cité",48.856198,2.34627,3,3,616,"other,unclassified_objects,interesting_places,historic_object, towers,architecture,interesting_places,clock_towers",monuments,Paris,FR,1
"Fontaine de la Vierge, La fontaine de la Vierge",48.852562,2.351384,1,4.1,87,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Paris,FR,1
Théâtre du Châtelet,48.857796,2.346263,3,4.1,4633,"theatres_and_entertainments,concert_halls,cultural,interesting_places,music_venues,opera_houses",theatres,Paris,FR,2
Notre-Dame-des-Blancs-Manteaux,48.858955,2.357737,3,2.3,273,"religion,churches,interesting_places,catholic_churches",churches,Paris,FR,1
"Charlemagne et ses leudes, Statue de Charlemagne et ses leudes",48.853096,2.34827,3,1.3,114,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",sculptures,Paris,FR,2
"Tour de l'enceinte de Philippe Auguste, Tower Philippe Auguste",48.859673,2.357033,1,4,10,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,other_fortifications",landmark,Paris,FR,1
