name,kind,city,country,lat,lon,rate
The Science,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Paris,FR,48.856651,2.351868,2
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856602,2.35183,2
bataille de Lutèce,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856602,2.35183,2
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856602,2.35183,3
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856602,2.35183,2
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856602,2.35183,2
Battle of Montmartre,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856602,2.3518,2
The Art,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Paris,FR,48.856537,2.351805,2
Paris Town Hall,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.856426,2.352528,3
Paris,"religion,other_temples,interesting_places",Paris,FR,48.85704,2.352812,3
Place de Grève,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.857208,2.35218,2
Hôtel de Ville,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.857231,2.352095,2
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856945,2.351389,3
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856945,2.351389,3
Siege of Paris,"battlefields,historic,historical_places,interesting_places",Paris,FR,48.856945,2.351389,2
equestrian statue of Étienne Marcel,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.855835,2.352222,2
Church Saint-Jean-en-Grève,"religion,churches,interesting_places,other_churches",Paris,FR,48.856388,2.353333,3
Jardin des Combattants-de-la-Nueve,"urban_environment,gardens_and_parks,cultural,interesting_places",Paris,FR,48.855766,2.352107,3
Les feux de la Saint-Jean,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.855816,2.351621,2
Étienne Marcel,"cultural,urban_environment,interesting_places,sculptures",Paris,FR,48.855675,2.35212,3
Pont d'Arcole,"bridges,architecture,interesting_places,stone_bridges",Paris,FR,48.855621,2.350669,3
Orme de Saint-Gervais,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.855743,2.353993,2
"63 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858067,2.352511,2
"9 rue du Renard, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858101,2.351567,2
Hôtel de Ville,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.856956,2.349721,2
"77 rue de la Verrerie, Paris","architecture,historic_architecture,interesting_places,shops,bakeries,tourist_facilities,other_buildings_and_structures",Paris,FR,48.858318,2.35172,2
Chapelle dorée of Église Saint-Gervais-Saint-Protais,"religion,churches,interesting_places,other_churches",Paris,FR,48.855556,2.354444,3
"79 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858425,2.35145,2
Azzedine Alaïa Gallery,"museums,cultural,interesting_places,other_museums",Paris,FR,48.857506,2.354742,3
Pont d'Arcole,"bridges,architecture,interesting_places,other_bridges",Paris,FR,48.855148,2.350318,3
"62 rue de la Verrerie - 15 rue du Renard, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858532,2.351803,2
St-Gervais-et-St-Protais,"religion,churches,interesting_places,catholic_churches",Paris,FR,48.855511,2.354697,3
Federico García Lorca Garden,"urban_environment,gardens_and_parks,cultural,interesting_places",Paris,FR,48.854717,2.353239,3
"80 rue de l'Hôtel-de-Ville, Paris","sundials,other,historic,monuments_and_memorials,interesting_places,monuments",Paris,FR,48.855061,2.35423,2
"85 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858555,2.351128,2
L'Arche Marion,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.855045,2.350103,2
"2-14 rue François-Miron, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85577,2.35515,2
cimetière Saint-Landry,"cemeteries,historic,burial_places,interesting_places",Paris,FR,48.85479,2.35041,2
"87 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858624,2.351011,2
"70 rue de la Verrerie - 1 rue des Juges-Consuls, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858681,2.351225,2
"72 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858692,2.351161,2
Couvent de Sainte-Croix de la Bretonnerie,"religion,monasteries,interesting_places",Paris,FR,48.85828,2.35437,3
"89 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858685,2.350892,2
"74 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858749,2.351075,2
